track_name;mean_energy;ZCR_mean;ZCR_std;spectral_flatness_mean;spectral_flatness_std;spectral_centroids_mean;spectral_centroids_std;spectral_bandwidths_mean;spectral_bandwidths_std;spectral_flux_mean;spectral_flux_std;spectral_rolloff_mean;spectral_rolloff_std;MFCC_1;MFCC_2;MFCC_3;MFCC_4;MFCC_5;MFCC_6;MFCC_7;MFCC_8;MFCC_9;MFCC_10;MFCC_11;MFCC_12;MFCC_13;MFCC_14;MFCC_15;MFCC_16;MFCC_17;MFCC_18;MFCC_19;MFCC_20
Ля_мажор_Моцарт;0.074794665;6.076484194294526;1.9248832721372693;0.0008984204;0.02805483;0.0811115674890849;0.04739151625224833;980.226381565742;219.28709123730647;1.4831771;2.1143007;1497.3564021495165;455.94149887300705;-185.0545;172.75586;-18.225069;4.0793076;-8.039595;-13.46078;-17.775805;-12.495015;-5.5699863;-3.1734974;-5.4564795;-1.6574817;4.6548543;2.5496051;-2.8758986;-5.556747;-6.628302;-5.568473;-7.677846;-3.5577984
elton_dzhon_blue_sorry_seems_to_be_the_hardest_word_slovo_prosti_samoe_slozhnoe_slovo_na_svete..._Cool.DJ;0.0636985;8.033155101875481;8.148735246413315;0.036727063;0.14287183;0.27941935638177645;0.1423150388082273;2345.9043116344023;752.2390104243841;1.2864175;1.4957631;4536.973778729813;2307.3086624913635;-94.131836;103.33589;11.26122;14.620501;3.914012;8.700461;-5.8643103;1.7348639;-8.961316;-1.5535024;-4.191245;-0.33027923;-3.1645076;-0.34900692;-2.20042;1.8594607;-3.0174773;1.2089036;-1.7555751;0.59952915
Robin_Schulz__Sugar_feat._Francesco_Yates;0.033306733;9.047992124369335;8.842199775556502;0.023759361;0.051523365;0.34591337833504954;0.17266567909378494;2423.61223527042;677.3137372732272;1.4522662;1.319456;4965.810092123353;2163.729861427826;-106.95273;91.53401;-5.4757185;11.698393;-8.485977;0.9987669;-2.1946762;4.2887;-4.5141063;2.5585728;-8.480961;2.3769803;-3.9359841;3.141425;-5.844786;-1.7219863;-5.057473;-2.744251;-5.7779317;0.5293337
model_dlya_sborki_shekli_robert_cherez_picshevod_i_v_kosmos_Cool.DJ;0.018343316;5.795603565157476;5.816791566877512;0.0043021883;0.011706928;0.26529251561585937;0.1232006721266988;2070.454138874438;581.7605061522584;1.8763611;1.6476461;3163.743968372155;1862.1355577034267;-161.95967;141.76463;-1.8189892;24.830292;30.745907;-10.0640335;9.053916;-1.1246908;-3.430248;8.686417;-15.05149;12.396855;-8.422931;7.0081196;-9.678147;8.766813;-1.8446566;-2.1350703;1.0102935;-1.5493938
Arabian_Nights_2019_Will_Smith;0.014201025;7.803405284704131;6.767272043623615;0.040346995;0.15886827;0.32103159812171583;0.12910223815428434;2168.309029021428;532.5718778815386;1.1290233;0.91132724;3895.9277239093385;1586.3352630277136;-160.72946;105.83422;-3.1808004;25.58659;8.06843;10.162783;-2.8976424;9.120682;-5.2212467;5.969019;-0.4255631;0.22080313;-2.5461361;2.6575632;-4.0184674;2.6694999;-4.0035853;1.4223174;-2.8278897;-0.37550965
2pac_–_Only_God_Can_Judge_Me;0.06127503;11.532995311473908;10.706353688829195;0.039348695;0.058078863;0.3751599209671078;0.1492993181884186;2773.933769679929;552.0169318830885;2.1869626;3.1856096;6015.357535260091;1971.6150225680276;-85.18114;67.96434;21.25744;37.299767;8.438085;12.632307;3.0799997;6.3192735;-0.08294896;5.2419753;-2.2165196;4.813434;0.39357048;4.2468834;-0.32193494;5.8965464;-1.2035826;2.1135454;-1.9959167;1.4601126
Rag'n'Bone_Man__Human;0.09618603;8.222661845964936;8.143118726323339;0.021670027;0.06798547;0.21334220575948154;0.10300675836472624;2104.7618834393897;585.6024921476086;1.314195;1.3044492;3769.4047544610376;1977.0734772496944;-77.98787;115.937584;-5.5278687;15.963859;6.865749;2.8383512;-5.31305;11.143342;-7.5372543;0.3388685;-2.6929388;-0.5379262;-1.8068302;-2.9433079;-7.3956356;5.9082975;-4.632577;-2.060515;-2.6484542;0.28518048
Города__Леонид_Фёдоров;0.047079824;9.651137559179379;3.814999625293993;0.0095089935;0.011801648;0.20561042803332066;0.1082395283816447;1968.427426446598;340.73974061929454;1.1205341;0.6420869;3379.462435301296;1138.4724991739813;-75.44831;120.76195;-34.777317;-1.7788267;-5.8285604;9.318078;-0.5487248;-7.7522144;-20.895554;-1.5390022;-7.8664274;9.571003;-12.188486;-2.79892;-6.009451;-2.6376846;-5.051534;3.9162536;-6.356315;-3.344016
Янка_Дягилева__Гори_гори_ясно!;0.019911136;17.391850846581363;10.519298882761245;0.04698436;0.04431468;0.30081037687864765;0.12306617707335639;2541.1780766117336;342.40201843216585;1.543889;1.4967254;6059.405956788927;1231.2775620052053;-84.32738;42.764965;-19.295141;39.487873;3.4317663;10.174416;-5.3282022;9.786989;-11.176558;-5.277161;-5.2204623;-0.60225165;-5.557709;-5.4608727;-11.931932;-5.7168026;-12.497221;-5.932982;-17.69086;-9.841777
Макс_Корж__Напалм;0.07766985;9.397587244089395;10.740386983063313;0.01706777;0.036457174;0.2479918345101216;0.1725786386087156;2118.1801738791532;849.9243375752367;1.4337677;1.7903855;4199.651978347475;2506.074453645358;-128.95395;100.85882;-14.560173;-3.8453457;8.204546;-0.07938111;-13.848939;-1.999005;-11.092374;-2.3403246;-9.904922;-7.6179104;-4.2178974;-0.96915317;-2.9549484;7.3246303;-5.052959;3.2063785;-3.041991;4.0524154
